1	-5.1991
1.115	-4.3239
1.23	-3.7284
1.345	-3.2661
1.46	-2.9082
1.575	-2.6225
1.69	-2.3954
1.805	-2.2098
1.92	-2.0282
2.035	-1.8916
2.15	-1.7967
2.265	-1.6635
2.38	-1.5819
2.495	-1.5127
2.61	-1.3977
2.725	-1.3814
2.84	-1.2792
2.955	-1.2786
3.07	-1.2207
3.185	-1.1791
3.3	-1.093
3.415	-1.0193
3.53	-1.0264
3.645	-0.9742
3.76	-0.9384
3.875	-0.8979
3.99	-0.811
4.105	-0.8056
4.22	-0.7548
4.335	-0.7416
4.45	-0.7049
4.565	-0.6784
4.68	-0.6445
4.795	-0.6134
4.91	-0.5789
5.025	-0.5578
5.14	-0.5278
5.255	-0.4917
5.37	-0.5137
5.485	-0.4717
5.6	-0.4697
5.715	-0.4589
5.83	-0.4215
5.945	-0.425
6.06	-0.3984
6.175	-0.33
6.29	-0.3724
6.405	-0.3815
6.52	-0.3639
6.635	-0.3482
6.75	-0.3021
6.865	-0.2574
6.98	-0.3142
7.095	-0.2815
7.21	-0.2804
7.325	-0.2677
7.44	-0.2675
7.555	-0.2496
7.67	-0.264
7.785	-0.254
7.9	-0.2542
8.015	-0.2585
8.13	-0.2511
8.245	-0.2669
8.36	-0.2648
8.475	-0.2188
8.59	-0.214
8.705	-0.2618
8.82	-0.2001
8.935	-0.1932
9.05	-0.2392
9.165	-0.2704
9.28	-0.2118
9.395	-0.1886
9.51	-0.1723
9.625	-0.2191
9.74	-0.1872
9.855	-0.2118
9.97	-0.2002
10.085	-0.2
10.2	-0.1592
10.315	-0.1482
10.43	-0.1329
10.545	-0.1624
10.66	-0.1445
10.775	-0.1237
10.89	-0.1208
11.005	-0.1096
11.12	-0.1052
11.235	-0.0974
11.35	-0.079
11.465	-0.0793
11.58	-0.0683
11.695	-0.0739
11.81	-0.0864
11.925	-0.0733
12.04	-0.0097
12.155	-0.0244
12.27	-0.0688
12.385	-0.0124
12.5	-0.0183
12.615	-0.0508
12.73	0.0169
12.845	0.0091
